date,brand_id,brand,image_url,city_name,sku_id,sku_name,category_id,category_name,sub_category_id,sub_category_name,est_qty_sold,est_sales_sp,est_sales_mrp,listed_ds_count,ds_count,in_stock_count,wt_osa,wt_osa_ls,mrp,sp,discount
2025-03-26,17390,Sweet Karam Coffee,http://cdn.grofers.com/app/assets/products/sliding_images/jpeg/4bd6632c-1c38-4b3c-bafb-b64a89181292.jpg?ts=1722934701,Chennai,563256,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 5,1237,Munchies,1178,Bhujia & Mixtures,0,0,0,1,41,1,0.024390243902439025,1,495,446,0.098989898989898989
2025-03-31,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/4bd6632c-1c38-4b3c-bafb-b64a89181292.jpg?ts=1722934701,Chennai,563256,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 5,1237,Munchies,1178,Bhujia & Mixtures,0,0,0,1,41,1,0.024390243902439025,1,495,446,0.098989898989898989
2025-03-04,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/4bd6632c-1c38-4b3c-bafb-b64a89181292.jpg?ts=1722934701,Chennai,563256,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 5,1237,Munchies,1178,Bhujia & Mixtures,0,0,0,1,41,1,0.024390243902439025,1,495,446,0.098989898989898989
2025-03-22,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/4bd6632c-1c38-4b3c-bafb-b64a89181292.jpg?ts=1722934701,Chennai,563256,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 5,1237,Munchies,1178,Bhujia & Mixtures,0,0,0,1,41,1,0.024390243902439025,1,495,446,0.098989898989898989
2025-03-23,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/4bd6632c-1c38-4b3c-bafb-b64a89181292.jpg?ts=1722934701,Chennai,563256,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 5,1237,Munchies,1178,Bhujia & Mixtures,0,0,0,1,41,1,0.024390243902439025,1,495,446,0.098989898989898989
2025-03-07,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/4bd6632c-1c38-4b3c-bafb-b64a89181292.jpg?ts=1722934701,Chennai,563256,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 5,1237,Munchies,1178,Bhujia & Mixtures,0,0,0,1,41,1,0.024390243902439025,1,495,446,0.098989898989898989
2025-03-29,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/639f90f5-1f04-46c4-9df9-0d2e660e4cd8.jpg?ts=1720508011,Chennai,559008,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 4,1237,Munchies,1178,Bhujia & Mixtures,0,0,0,1,41,1,0.024390243902439025,1,396,368,0.0707070707070707
2025-03-10,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/639f90f5-1f04-46c4-9df9-0d2e660e4cd8.jpg?ts=1720508011,Chennai,559008,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 4,1237,Munchies,1178,Bhujia & Mixtures,0,0,0,1,41,1,0.024390243902439025,1,396,368,0.0707070707070707
2025-03-11,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/639f90f5-1f04-46c4-9df9-0d2e660e4cd8.jpg?ts=1720508011,Chennai,559008,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 4,1237,Munchies,1178,Bhujia & Mixtures,0,0,0,1,41,1,0.024390243902439025,1,396,368,0.0707070707070707
2025-03-06,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/639f90f5-1f04-46c4-9df9-0d2e660e4cd8.jpg?ts=1720508011,Chennai,559008,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 4,1237,Munchies,1178,Bhujia & Mixtures,0,0,0,1,41,1,0.024390243902439025,1,396,368,0.0707070707070707
2025-03-27,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/639f90f5-1f04-46c4-9df9-0d2e660e4cd8.jpg?ts=1720508011,Chennai,559008,"Sweet Karam Coffee Madras Mixture Namkeen, - No Palm Oil - Pack of 4",1237,Munchies,1178,Bhujia & Mixtures,0,0,0,1,41,1,0.024390243902439025,1,396,368,0.0707070707070707
2025-03-21,17390,Sweet Karam Coffee,http://cdn.grofers.com/app/assets/products/sliding_images/jpeg/4bd6632c-1c38-4b3c-bafb-b64a89181292.jpg?ts=1722934701,Chennai,563256,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 5,1237,Munchies,1178,Bhujia & Mixtures,0,0,0,1,41,1,0.024390243902439025,1,495,446,0.098989898989898989
2025-03-08,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/4bd6632c-1c38-4b3c-bafb-b64a89181292.jpg?ts=1722934701,Chennai,563256,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 5,1237,Munchies,1178,Bhujia & Mixtures,0,0,0,1,41,1,0.024390243902439025,1,495,446,0.098989898989898989
2025-03-03,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/4bd6632c-1c38-4b3c-bafb-b64a89181292.jpg?ts=1722934701,Chennai,563256,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 5,1237,Munchies,1178,Bhujia & Mixtures,0,0,0,1,41,1,0.024390243902439025,1,495,446,0.098989898989898989
2025-03-12,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/639f90f5-1f04-46c4-9df9-0d2e660e4cd8.jpg?ts=1720508011,Chennai,559008,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 4,1237,Munchies,1178,Bhujia & Mixtures,0,0,0,1,41,1,0.024390243902439025,1,396,368,0.0707070707070707
